Result Time,Granularity Period,Object Name,Reliability,"50331748","50331749","50331750","50331751","50331752","50331753","50361697"
,Minutes,,,None,None,None,None,None,None,None
2025-06-24 14:00,60,"GLLF_LF011_BALIKESIR/ULoCell:NodeB Function Name=NLF01_39724_LF011_BALIKESIR, Local Cell ID=44543, Cell Name=N/A",Reliable,0.431,0.403,0.431,0.389,0,0,
2025-06-24 14:00,60,"GLLF_LF011_BALIKESIR/ULoCell:NodeB Function Name=NLF01_39724_LF011_BALIKESIR, Local Cell ID=44542, Cell Name=N/A",Reliable,0.021,0.019,0.021,0.017,0,0,
2025-06-24 14:00,60,"GLLF_LF011_BALIKESIR/ULoCell:NodeB Function Name=NLF01_39724_LF011_BALIKESIR, Local Cell ID=44541, Cell Name=N/A",Reliable,0.232,0.221,0.232,0.208,0,0,
2025-06-24 14:00,60,"GLLF_LF116_AKSOY_OYUNCAK/ULoCell:NodeB Function Name=NLF01_39892_LF116_Aksoy_Oyuncak, Local Cell ID=47923, Cell Name=N/A",Reliable,0.111,0.104,0.111,0.1,0,0,
2025-06-24 14:00,60,"GLLF_LF116_AKSOY_OYUNCAK/ULoCell:NodeB Function Name=NLF01_39892_LF116_Aksoy_Oyuncak, Local Cell ID=47922, Cell Name=N/A",Reliable,0.272,0.253,0.272,0.242,6709,3998,
2025-06-24 14:00,60,"GLLF_LF116_AKSOY_OYUNCAK/ULoCell:NodeB Function Name=NLF01_39892_LF116_Aksoy_Oyuncak, Local Cell ID=47921, Cell Name=N/A",Reliable,0.058,0.057,0.058,0.056,84,80,
2025-06-24 14:00,60,"SRLF_LF023_DUMLUPINAR/ULoCell:NodeB Function Name=NLF01_39736_LF023_DUMLUPINAR, Local Cell ID=44033, Cell Name=N/A",Reliable,0.058,0.056,0.058,0.054,0,0,
2025-06-24 14:00,60,"SRLF_LF023_DUMLUPINAR/ULoCell:NodeB Function Name=NLF01_39736_LF023_DUMLUPINAR, Local Cell ID=44032, Cell Name=N/A",Reliable,0.021,0.019,0.021,0.019,0,0,
2025-06-24 14:00,60,"SRLF_LF023_DUMLUPINAR/ULoCell:NodeB Function Name=NLF01_39736_LF023_DUMLUPINAR, Local Cell ID=44031, Cell Name=N/A",Reliable,1.039,0.468,1.039,0.45,464,462,
2025-06-24 14:00,60,"GLLF_LF009_ATATURK_STADIUM/ULoCell:NodeB Function Name=NLF01_39722_LF009_ATATURK_STADIUM, Local Cell ID=47093, Cell Name=N/A",Reliable,0.478,0.444,0.478,0.41,0,0,
2025-06-24 14:00,60,"GLLF_LF009_ATATURK_STADIUM/ULoCell:NodeB Function Name=NLF01_39722_LF009_ATATURK_STADIUM, Local Cell ID=47092, Cell Name=N/A",Reliable,0.886,0.799,0.886,0.7,0,0,
2025-06-24 14:00,60,"GLLF_LF009_ATATURK_STADIUM/ULoCell:NodeB Function Name=NLF01_39722_LF009_ATATURK_STADIUM, Local Cell ID=47091, Cell Name=N/A",Reliable,0.281,0.256,0.281,0.244,0,0,
2025-06-24 14:00,60,"GLGN_GN111_NILGUN_RESTURANT/ULoCell:NodeB Function Name=NGN01_39611_GN111_NILGUN_RESTURANT, Local Cell ID=45473, Cell Name=N/A",Reliable,0.186,0.176,0.186,0.167,0,0,
2025-06-24 14:00,60,"GLGN_GN111_NILGUN_RESTURANT/ULoCell:NodeB Function Name=NGN01_39611_GN111_NILGUN_RESTURANT, Local Cell ID=45472, Cell Name=N/A",Reliable,0.429,0.421,0.429,0.372,0,0,
2025-06-24 14:00,60,"GLGN_GN111_NILGUN_RESTURANT/ULoCell:NodeB Function Name=NGN01_39611_GN111_NILGUN_RESTURANT, Local Cell ID=45471, Cell Name=N/A",Reliable,0.072,0.069,0.072,0.067,0,0,
2025-06-24 14:00,60,"GLGN_GN027_CATALKOY/ULoCell:NodeB Function Name=NGN01_39527_GN027_CATALKOY, Local Cell ID=43623, Cell Name=N/A",Reliable,3.662,3.454,3.662,3.235,1101,773,
2025-06-24 14:00,60,"GLGN_GN027_CATALKOY/ULoCell:NodeB Function Name=NGN01_39527_GN027_CATALKOY, Local Cell ID=43622, Cell Name=N/A",Reliable,0.978,0.9,0.978,0.847,30223,4541,
2025-06-24 14:00,60,"GLGN_GN027_CATALKOY/ULoCell:NodeB Function Name=NGN01_39527_GN027_CATALKOY, Local Cell ID=43621, Cell Name=N/A",Reliable,3.194,2.96,3.194,2.819,11749,7388,
2025-06-24 14:00,60,"GLGN_GN142_SEVENER_RESTURANT/ULoCell:NodeB Function Name=NGN01_39900_GN142_SEVENER_RESTURANT, Local Cell ID=47993, Cell Name=N/A",Reliable,1.024,1,1.024,0.971,2210,1772,
2025-06-24 14:00,60,"GLGN_GN142_SEVENER_RESTURANT/ULoCell:NodeB Function Name=NGN01_39900_GN142_SEVENER_RESTURANT, Local Cell ID=47992, Cell Name=N/A",Reliable,1.318,1.247,1.318,1.078,399,288,
2025-06-24 14:00,60,"GLGN_GN142_SEVENER_RESTURANT/ULoCell:NodeB Function Name=NGN01_39900_GN142_SEVENER_RESTURANT, Local Cell ID=47991, Cell Name=N/A",Reliable,0.742,0.706,0.742,0.685,790,599,
2025-06-24 14:00,60,"SRGN_GN052_ELEXSUS_OTEL_A/ULoCell:NodeB Function Name=NGN01_39552_GN052_ELEXSUS_OTEL_A, Local Cell ID=45734, Cell Name=N/A",Reliable,0.008,0.008,0.008,0.008,0,0,
2025-06-24 14:00,60,"SRGN_GN052_ELEXSUS_OTEL_A/ULoCell:NodeB Function Name=NGN01_39552_GN052_ELEXSUS_OTEL_A, Local Cell ID=45733, Cell Name=N/A",Reliable,0.29,0.265,0.29,0.236,0,0,
2025-06-24 14:00,60,"SRGN_GN052_ELEXSUS_OTEL_A/ULoCell:NodeB Function Name=NGN01_39552_GN052_ELEXSUS_OTEL_A, Local Cell ID=45732, Cell Name=N/A",Reliable,0,0,0,0,0,0,
2025-06-24 14:00,60,"SRGN_GN052_ELEXSUS_OTEL_A/ULoCell:NodeB Function Name=NGN01_39552_GN052_ELEXSUS_OTEL_A, Local Cell ID=45731, Cell Name=N/A",Reliable,0.057,0.051,0.057,0.051,0,0,
2025-06-24 14:00,60,"SRGN_GN053_ELEXSUS_OTEL_B/ULoCell:NodeB Function Name=NGN01_39553_GN053_ELEXSUS_OTEL_B, Local Cell ID=45742, Cell Name=N/A",Reliable,0,0,0,0,0,0,
2025-06-24 14:00,60,"SRGN_GN053_ELEXSUS_OTEL_B/ULoCell:NodeB Function Name=NGN01_39553_GN053_ELEXSUS_OTEL_B, Local Cell ID=45741, Cell Name=N/A",Reliable,0.001,0.001,0.001,0.001,0,0,
2025-06-24 14:00,60,"GLGN_GN002_ACAPULCO_CASINO/ULoCell:NodeB Function Name=NGN01_39502_GN002_ACAPULCO_CASINO, Local Cell ID=48863, Cell Name=N/A",Reliable,0.106,0.103,0.106,0.103,0,0,
2025-06-24 14:00,60,"GLGN_GN002_ACAPULCO_CASINO/ULoCell:NodeB Function Name=NGN01_39502_GN002_ACAPULCO_CASINO, Local Cell ID=48862, Cell Name=N/A",Reliable,0,0,0,0,0,0,
2025-06-24 14:00,60,"GLGN_GN002_ACAPULCO_CASINO/ULoCell:NodeB Function Name=NGN01_39502_GN002_ACAPULCO_CASINO, Local Cell ID=48861, Cell Name=N/A",Reliable,0.064,0.06,0.064,0.058,0,0,
2025-06-24 14:00,60,"GLGN_GN002_ACAPULCO_CASINO/ULoCell:NodeB Function Name=NGN01_39502_GN002_ACAPULCO_CASINO, Local Cell ID=43673, Cell Name=N/A",Reliable,0.403,0.381,0.403,0.369,0,0,
2025-06-24 14:00,60,"GLGN_GN002_ACAPULCO_CASINO/ULoCell:NodeB Function Name=NGN01_39502_GN002_ACAPULCO_CASINO, Local Cell ID=43672, Cell Name=N/A",Reliable,0.063,0.058,0.063,0.056,255,111,
2025-06-24 14:00,60,"GLGN_GN002_ACAPULCO_CASINO/ULoCell:NodeB Function Name=NGN01_39502_GN002_ACAPULCO_CASINO, Local Cell ID=43671, Cell Name=N/A",Reliable,1.666,1.62,1.666,1.595,338,199,
2025-06-24 14:00,60,"SRGN_GN042_DIKMEN_LOJISTIK/ULoCell:NodeB Function Name=NGN01_39542_GN042_DIKMEN_LOJISTIK, Local Cell ID=47843, Cell Name=N/A",Reliable,1.249,1.118,1.249,0.974,0,0,
2025-06-24 14:00,60,"SRGN_GN042_DIKMEN_LOJISTIK/ULoCell:NodeB Function Name=NGN01_39542_GN042_DIKMEN_LOJISTIK, Local Cell ID=47842, Cell Name=N/A",Reliable,0.129,0.115,0.129,0.111,21,5,
2025-06-24 14:00,60,"SRGN_GN042_DIKMEN_LOJISTIK/ULoCell:NodeB Function Name=NGN01_39542_GN042_DIKMEN_LOJISTIK, Local Cell ID=47841, Cell Name=N/A",Reliable,0.346,0.335,0.346,0.326,350,344,
2025-06-24 14:00,60,"GLGN_GN049_DOME_OTEL/ULoCell:NodeB Function Name=NGN01_39549_GN049_DOME_OTEL, Local Cell ID=43145, Cell Name=N/A",Reliable,0.29,0.279,0.29,0.254,0,0,
2025-06-24 14:00,60,"GLGN_GN049_DOME_OTEL/ULoCell:NodeB Function Name=NGN01_39549_GN049_DOME_OTEL, Local Cell ID=43143, Cell Name=N/A",Reliable,2.639,2.237,2.639,1.487,1765,1329,
2025-06-24 14:00,60,"GLGN_GN049_DOME_OTEL/ULoCell:NodeB Function Name=NGN01_39549_GN049_DOME_OTEL, Local Cell ID=43141, Cell Name=N/A",Reliable,0.553,0.481,0.553,0.415,0,0,
2025-06-24 14:00,60,"GLGN_GN046_DOGANKOY_KOLORDU/ULoCell:NodeB Function Name=NGN01_39546_GN046_DOGANKOY_KOLORDU, Local Cell ID=47273, Cell Name=N/A",Reliable,1.331,1.178,1.331,0.824,19188,15131,
2025-06-24 14:00,60,"GLGN_GN046_DOGANKOY_KOLORDU/ULoCell:NodeB Function Name=NGN01_39546_GN046_DOGANKOY_KOLORDU, Local Cell ID=47272, Cell Name=N/A",Reliable,0.007,0.007,0.007,0.007,0,0,
2025-06-24 14:00,60,"GLGN_GN046_DOGANKOY_KOLORDU/ULoCell:NodeB Function Name=NGN01_39546_GN046_DOGANKOY_KOLORDU, Local Cell ID=47271, Cell Name=N/A",Reliable,0.233,0.218,0.233,0.19,100,98,
2025-06-24 14:00,60,"GLGN_GN046_DOGANKOY_KOLORDU/ULoCell:NodeB Function Name=NGN01_39546_GN046_DOGANKOY_KOLORDU, Local Cell ID=48884, Cell Name=N/A",Reliable,0.143,0.14,0.143,0.135,147,141,
2025-06-24 14:00,60,"GLGN_GN033_CRATOS_PORT/ULoCell:NodeB Function Name=NGN01_39533_GN033_CRATOS_PORT, Local Cell ID=47161, Cell Name=N/A",Reliable,0.108,0.097,0.108,0.086,215,214,
2025-06-24 14:00,60,"GLGN_GN033_CRATOS_PORT/ULoCell:NodeB Function Name=NGN01_39533_GN033_CRATOS_PORT, Local Cell ID=47163, Cell Name=N/A",Reliable,4.589,4.318,4.589,4.008,14464,4275,
2025-06-24 14:00,60,"GLGN_GN033_CRATOS_PORT/ULoCell:NodeB Function Name=NGN01_39533_GN033_CRATOS_PORT, Local Cell ID=47162, Cell Name=N/A",Reliable,1.354,1.231,1.354,1.075,1096,752,
2025-06-24 14:00,60,"GLGN_GN059_EURO_DEE_OTEL/ULoCell:NodeB Function Name=NGN01_39559_GN059_EURO_DEE_OTEL, Local Cell ID=46813, Cell Name=N/A",Reliable,0.518,0.479,0.518,0.442,17,0,
2025-06-24 14:00,60,"GLGN_GN059_EURO_DEE_OTEL/ULoCell:NodeB Function Name=NGN01_39559_GN059_EURO_DEE_OTEL, Local Cell ID=46812, Cell Name=N/A",Reliable,0.385,0.369,0.385,0.332,386,183,
2025-06-24 14:00,60,"GLGN_GN059_EURO_DEE_OTEL/ULoCell:NodeB Function Name=NGN01_39559_GN059_EURO_DEE_OTEL, Local Cell ID=46811, Cell Name=N/A",Reliable,1.072,0.996,1.072,0.969,232,74,
2025-06-24 14:00,60,"SRGN_GN032_CRATOS/ULoCell:NodeB Function Name=NGN01_39532_GN032_CRATOS, Local Cell ID=44792, Cell Name=N/A",Reliable,2.157,2.049,2.157,1.874,0,0,
2025-06-24 14:00,60,"SRGN_GN032_CRATOS/ULoCell:NodeB Function Name=NGN01_39532_GN032_CRATOS, Local Cell ID=44791, Cell Name=N/A",Reliable,0,0,0,0,0,0,
2025-06-24 14:00,60,"SRGN_GN030_CIKLOS/ULoCell:NodeB Function Name=NGN01_39530_GN030_CIKLOS, Local Cell ID=44832, Cell Name=N/A",Reliable,0.878,0.85,0.878,0.771,3409,1148,
2025-06-24 14:00,60,"SRGN_GN030_CIKLOS/ULoCell:NodeB Function Name=NGN01_39530_GN030_CIKLOS, Local Cell ID=44831, Cell Name=N/A",Reliable,0.326,0.306,0.326,0.271,2833,436,
