"id","unit_id","branch_id","flow_id","node_id","node_parent_id","node_code","node_name","node_name_lookup","node_ip","node_port","node_version","node_type","sub_network","file_format_version","vendor_name","dc","file_type","node_manager","node_manager_name","source_ip","source_connection_id","source_path","source_file_format","source_time_period","source_starts_with","source_contains","source_ends_with","source_last_modified_time","primary_source_ip","primary_source_connection_id","primary_source_path","primary_source_file_format","primary_source_time_period","primary_source_starts_with","primary_source_contains","primary_source_ends_with","primary_source_last_modified_time","secondary_source_ip","secondary_source_connection_id","secondary_source_path","secondary_source_file_format","secondary_source_time_period","secondary_source_starts_with","secondary_source_contains","secondary_source_ends_with","secondary_source_last_modified_time","is_active","created_time","created_by","updated_time","updated_by","extra_info"
332,122,118,132,5,,NR34_Y1805_IST5GRG_GIB1402_3HAVALIMANI_SITE_3,NR34_Y1805_IST5GRG_GIB1402_3HAVALIMANI_SITE_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
333,122,118,132,6,,NR34_Y1807_IST5GSG_GIB1403_3HAVALIMANI_SITE_4,NR34_Y1807_IST5GSG_GIB1403_3HAVALIMANI_SITE_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
334,122,118,132,7,,NR34_Y6230_ATASEHIR_MESS_5G_Lampsite_ODB,NR34_Y6230_ATASEHIR_MESS_5G_Lampsite_ODB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
335,122,118,132,8,,SR34_000F2_Aslantp_3_NR,SR34_000F2_Aslantp_3_NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
336,122,118,132,9,,SR34_0G178_Aslantepe_4_NR,SR34_0G178_Aslantepe_4_NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
337,122,118,132,10,,SR34_K8372_VDF_ARENA_DOLMABAHCE_NR,SR34_K8372_VDF_ARENA_DOLMABAHCE_NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
338,122,118,132,11,,SR34_K8377_VDF_ARENA_D_BLOK_ALT_1_NR,SR34_K8377_VDF_ARENA_D_BLOK_ALT_1_NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
339,122,118,132,12,,SR34_M6995_FB_STAD_1_NR,SR34_M6995_FB_STAD_1_NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
340,122,118,132,13,,SR34_M7001_FB_STAD_7_NR,SR34_M7001_FB_STAD_7_NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
341,122,118,132,14,,SR34_M7005_STAD_FB_11_NR,SR34_M7005_STAD_FB_11_NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
342,122,118,132,15,,SR34_M7053_FB_STAD_17_NR,SR34_M7053_FB_STAD_17_NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
